n_qubits, trotter_steps, total_time, decomposition_time, verification_time, error, total_gates
4, 1, 0.00554085, 0.00002313, 0.00532889, 4.503e+00, 7
4, 2, 0.00391126, 0.00001216, 0.00380874, 1.989e+00, 14
4, 4, 0.00638318, 0.00002694, 0.00624919, 9.385e-01, 28
4, 8, 0.01122999, 0.00004506, 0.01107192, 4.625e-01, 56
4, 4, 0.00665903, 0.00003695, 0.00648689, 9.385e-01, 28
4, 8, 0.01288509, 0.00004697, 0.01271200, 4.625e-01, 56
4, 16, 0.02072716, 0.00004792, 0.02055001, 2.304e-01, 112
6, 1, 0.02095103, 0.00001717, 0.02079415, 1.010e+01, 11
6, 2, 0.03642297, 0.00002289, 0.03627181, 4.928e+00, 22
6, 4, 0.04992604, 0.00003600, 0.04977107, 2.340e+00, 44
6, 8, 0.08072495, 0.00009084, 0.08050108, 1.154e+00, 88
6, 6, 0.05827403, 0.00006294, 0.05808902, 1.544e+00, 66
6, 12, 0.11480403, 0.00011587, 0.11456490, 7.670e-01, 132
6, 24, 0.22688603, 0.00022006, 0.22652793, 3.829e-01, 264
8, 1, 0.68545723, 0.00001788, 0.68530297, 2.131e+01, 15
8, 2, 0.98781013, 0.00002909, 0.98763704, 1.132e+01, 30
8, 4, 1.46413517, 0.00008202, 1.46390104, 5.437e+00, 60
8, 8, 2.56155896, 0.00010896, 2.56131506, 2.686e+00, 120
8, 8, 3.04977775, 0.00011325, 3.04952598, 2.686e+00, 120
8, 16, 6.23140311, 0.00021696, 6.23103619, 1.339e+00, 240
8, 32, 11.94236302, 0.00051975, 11.94162488, 6.689e-01, 480
4, 1, 0.00394392, 0.00000429, 0.00388241, 4.503e+00, 7
4, 2, 0.00080061, 0.00000381, 0.00077367, 1.989e+00, 14
4, 4, 0.00123096, 0.00000501, 0.00115824, 9.385e-01, 28
4, 8, 0.00205684, 0.00000691, 0.00203300, 4.625e-01, 56
4, 4, 0.00267386, 0.00000381, 0.00262499, 9.385e-01, 28
4, 8, 0.00202584, 0.00000691, 0.00200081, 4.625e-01, 56
4, 16, 0.00436020, 0.00001287, 0.00430799, 2.304e-01, 112
6, 1, 0.00535822, 0.00000715, 0.00526190, 1.010e+01, 11
6, 2, 0.01036596, 0.00000405, 0.01034021, 4.928e+00, 22
6, 4, 0.01626921, 0.00000620, 0.01623583, 2.340e+00, 44
6, 8, 0.03764105, 0.00005317, 0.03753209, 1.154e+00, 88
6, 6, 0.03080702, 0.00001097, 0.03076386, 1.544e+00, 66
6, 12, 0.04679585, 0.00002003, 0.04671717, 7.670e-01, 132
6, 24, 0.09086704, 0.00014496, 0.09067202, 3.829e-01, 264
8, 1, 0.20686793, 0.00000525, 0.20682597, 2.131e+01, 15
8, 2, 0.31690168, 0.00000691, 0.31684613, 1.132e+01, 30
8, 4, 0.41682410, 0.00001407, 0.41673875, 5.437e+00, 60
8, 8, 0.83226609, 0.00005507, 0.83211088, 2.686e+00, 120
8, 8, 0.77293086, 0.00002480, 0.77282524, 2.686e+00, 120
8, 16, 1.25606608, 0.00004101, 1.25591922, 1.339e+00, 240
8, 32, 2.53970194, 0.00010800, 2.53954530, 6.689e-01, 480
